"customer_id","last_buy","freq","monetary","recency_days","r","f","m","rfm_code","segment","churn_status","buyer_type"
"16210","2011-12-08","18","21086.30",24,5,5,5,"555","Champion","Active","Loyal"
"17675","2011-12-08","31","20374.28",24,5,5,5,"555","Champion","Active","Loyal"
"17381","2011-12-01","29","20275.61",31,5,5,5,"555","Champion","Active","Loyal"
"15039","2011-11-30","47","19914.44",32,5,5,5,"555","Champion","Active","Loyal"
"12471","2011-12-07","30","19824.05",25,5,5,5,"555","Champion","Active","Loyal"
"12731","2011-11-16","12","18895.91",46,4,5,5,"455","Loyal","Active","Loyal"
"15159","2011-12-08","30","18641.01",24,5,5,5,"555","Champion","Active","Loyal"
"12901","2011-12-01","28","17654.54",31,5,5,5,"555","Champion","Active","Loyal"
"12678","2011-10-28","12","17628.46",65,3,5,5,"355","Developing","Active","Loyal"
"14031","2011-12-02","19","17286.86",30,5,5,5,"555","Champion","Active","Loyal"
"17428","2011-12-09","28","17256.85",23,5,5,5,"555","Champion","Active","Loyal"
"13767","2011-12-07","37","17220.36",25,5,5,5,"555","Champion","Active","Loyal"
"13881","2011-12-06","20","17159.52",26,5,5,5,"555","Champion","Active","Loyal"
"16839","2011-12-01","34","16594.35",31,5,5,5,"555","Champion","Active","Loyal"
"12921","2011-11-30","37","16587.09",32,5,5,5,"555","Champion","Active","Loyal"
"14607","2011-11-24","14","16569.50",38,4,5,5,"455","Loyal","Active","Loyal"
"15856","2011-12-05","27","16387.57",27,5,5,5,"555","Champion","Active","Loyal"
"17677","2011-12-08","30","16363.23",24,5,5,5,"555","Champion","Active","Loyal"
"15189","2011-12-08","41","16225.39",24,5,5,5,"555","Champion","Active","Loyal"
"14051","2011-12-09","23","15610.39",23,5,5,5,"555","Champion","Active","Loyal"
"15513","2011-11-06","19","14758.22",56,3,5,5,"355","Developing","Active","Loyal"
"16133","2011-12-06","33","14589.04",26,5,5,5,"555","Champion","Active","Loyal"
"14866","2011-11-29","12","14389.90",33,5,5,5,"555","Champion","Active","Loyal"
"16705","2011-12-09","20","14034.99",23,5,5,5,"555","Champion","Active","Loyal"
"12681","2011-11-25","22","13787.54",37,4,5,5,"455","Loyal","Active","Loyal"
"12621","2011-12-08","20","13689.67",24,5,5,5,"555","Champion","Active","Loyal"
"12540","2011-11-20","17","13400.24",42,4,5,5,"455","Loyal","Active","Loyal"
"12433","2011-12-09","7","13375.87",23,5,5,5,"555","Champion","Active","Loyal"
"15498","2011-12-07","27","13316.40",25,5,5,5,"555","Champion","Active","Loyal"
"12477","2011-11-17","6","13219.74",45,4,4,5,"445","Loyal","Active","Loyal"
"17735","2011-12-07","19","13110.02",25,5,5,5,"555","Champion","Active","Loyal"
"16525","2011-12-07","26","13027.45",25,5,5,5,"555","Champion","Active","Loyal"
"14258","2011-11-30","9","12669.98",32,5,5,5,"555","Champion","Active","Loyal"
"13078","2011-12-06","26","12627.94",26,5,5,5,"555","Champion","Active","Loyal"
"12536","2011-10-27","3","12601.83",66,3,3,5,"335","Developing","Active","Occasional"
"15640","2011-12-05","15","12515.66",27,5,5,5,"555","Champion","Active","Loyal"
"16000","2011-12-07","3","12393.70",25,5,4,5,"545","Loyal","Active","Occasional"
"17340","2011-11-10","11","12353.29",52,4,5,5,"455","Loyal","Active","Loyal"
"12682","2011-12-06","31","12288.22",26,5,5,5,"555","Champion","Active","Loyal"
"13113","2011-12-09","24","12245.96",23,5,5,5,"555","Champion","Active","Loyal"
"14606","2011-12-08","93","12156.65",24,5,5,5,"555","Champion","Active","Loyal"
"12557","2011-11-23","5","11990.96",39,4,4,5,"445","Loyal","Active","Occasional"
"12939","2011-10-06","8","11581.80",87,3,5,5,"355","Developing","Active","Loyal"
"15125","2011-11-14","15","11528.48",48,4,5,5,"455","Loyal","Active","Loyal"
"14194","2011-12-05","21","11349.52",27,5,5,5,"555","Champion","Active","Loyal"
"12971","2011-12-06","86","11189.91",26,5,5,5,"555","Champion","Active","Loyal"
"14895","2011-12-02","20","11138.71",30,5,5,5,"555","Champion","Active","Loyal"
"12409","2011-09-22","3","11072.67",101,2,3,5,"235","At Risk","At Risk","Occasional"
"15482","2011-11-24","12","11054.96",38,4,5,5,"455","Loyal","Active","Loyal"
"17581","2011-12-09","25","11045.04",23,5,5,5,"555","Champion","Active","Loyal"
"13319","2011-12-04","26","10845.55",28,5,5,5,"555","Champion","Active","Loyal"
"17107","2011-11-06","6","10815.43",56,3,5,5,"355","Developing","Active","Loyal"
"13340","2011-10-25","7","10736.48",68,3,5,5,"355","Developing","Active","Loyal"
"14769","2011-12-07","8","10674.75",25,5,5,5,"555","Champion","Active","Loyal"
"17139","2011-11-24","12","10668.47",38,4,5,5,"455","Loyal","Active","Loyal"
"16779","2011-12-07","22","10629.72",25,5,5,5,"555","Champion","Active","Loyal"
"17865","2011-11-09","20","10526.32",53,4,5,5,"455","Loyal","Active","Loyal"
"17706","2011-12-05","17","10504.49",27,5,5,5,"555","Champion","Active","Loyal"
"15251","2011-11-30","11","10484.99",32,5,5,5,"555","Champion","Active","Loyal"
"14062","2011-11-30","12","10464.85",32,5,5,5,"555","Champion","Active","Loyal"
"15615","2011-11-29","23","10399.74",33,5,5,5,"555","Champion","Active","Loyal"
"15502","2011-11-24","12","10384.93",38,4,5,5,"455","Loyal","Active","Loyal"
"16180","2011-08-31","8","10254.18",123,2,5,5,"255","At Risk","At Risk","Loyal"
"16843","2011-10-28","16","10196.57",65,3,5,5,"355","Developing","Active","Loyal"
"12590","2011-05-12","2","9864.26",234,1,2,5,"125","Developing","Churned","Occasional"
"13001","2011-12-05","13","9818.82",27,5,5,5,"555","Champion","Active","Loyal"
"13199","2011-12-06","38","9817.12",26,5,5,5,"555","Champion","Active","Loyal"
"15078","2011-12-02","32","9743.11",30,5,5,5,"555","Champion","Active","Loyal"
"12709","2011-11-24","15","9736.52",38,4,5,5,"455","Loyal","Active","Loyal"
"13458","2011-12-02","14","9646.57",30,5,5,5,"555","Champion","Active","Loyal"
"14733","2011-11-23","12","9585.91",39,4,5,5,"455","Loyal","Active","Loyal"
"16523","2011-12-08","21","9418.47",24,5,5,5,"555","Champion","Active","Loyal"
"12567","2011-11-17","10","9401.28",45,4,5,5,"455","Loyal","Active","Loyal"
"14367","2011-12-01","16","9261.52",31,5,5,5,"555","Champion","Active","Loyal"
"14667","2011-11-29","25","9241.20",33,5,5,5,"555","Champion","Active","Loyal"
"18092","2011-12-07","11","9068.26",25,5,5,5,"555","Champion","Active","Loyal"
"13969","2011-12-02","18","9053.94",30,5,5,5,"555","Champion","Active","Loyal"
"12451","2011-11-29","5","9035.52",33,5,4,5,"545","Loyal","Active","Occasional"
"13488","2011-11-22","13","8968.31",40,4,5,5,"455","Loyal","Active","Loyal"
"13090","2011-12-01","14","8910.82",31,5,5,5,"555","Champion","Active","Loyal"
"16033","2011-12-04","20","8816.40",28,5,5,5,"555","Champion","Active","Loyal"
"17017","2011-12-07","20","8694.26",25,5,5,5,"555","Champion","Active","Loyal"
"17243","2011-12-08","26","8676.85",24,5,5,5,"555","Champion","Active","Loyal"
"17306","2011-11-29","19","8631.31",33,5,5,5,"555","Champion","Active","Loyal"
"16656","2011-11-17","15","8625.80",45,4,5,5,"455","Loyal","Active","Loyal"
"14527","2011-12-07","55","8508.82",25,5,5,5,"555","Champion","Active","Loyal"
"12683","2011-12-05","15","8476.57",27,5,5,5,"555","Champion","Active","Loyal"
"18139","2011-11-22","6","8438.34",40,4,5,5,"455","Loyal","Active","Loyal"
"15358","2011-12-05","22","8347.20",27,5,5,5,"555","Champion","Active","Loyal"
"16558","2011-12-09","20","8338.49",23,5,5,5,"555","Champion","Active","Loyal"
"14056","2011-12-08","23","8214.65",24,5,5,5,"555","Champion","Active","Loyal"
"14936","2011-11-06","8","8137.02",56,3,5,5,"355","Developing","Active","Loyal"
"16672","2011-12-07","20","8134.94",25,5,5,5,"555","Champion","Active","Loyal"
"13854","2011-12-01","25","8109.52",31,5,5,5,"555","Champion","Active","Loyal"
"14952","2011-10-11","11","8099.49",82,3,5,5,"355","Developing","Active","Loyal"
"18109","2011-12-08","26","8052.97",24,5,5,5,"555","Champion","Active","Loyal"
"14796","2011-12-08","17","8022.49",24,5,5,5,"555","Champion","Active","Loyal"
"12428","2011-11-14","9","7956.46",48,4,5,5,"455","Loyal","Active","Loyal"
"15290","2011-12-05","18","7943.22",27,5,5,5,"555","Champion","Active","Loyal"
"14849","2011-11-18","25","7930.54",44,4,5,5,"455","Loyal","Active","Loyal"
"12757","2011-11-24","13","7857.10",38,4,5,5,"455","Loyal","Active","Loyal"
"17811","2011-12-05","39","7837.73",27,5,5,5,"555","Champion","Active","Loyal"
"13093","2011-03-09","8","7832.47",298,1,5,5,"155","At Risk","Churned","Loyal"
"12435","2011-09-21","2","7829.89",102,2,2,5,"225","Developing","At Risk","Occasional"
"13629","2011-11-16","11","7792.36",46,4,5,5,"455","Loyal","Active","Loyal"
"15044","2011-11-20","17","7700.23",42,4,5,5,"455","Loyal","Active","Loyal"
"15194","2011-12-06","15","7616.53",26,5,5,5,"555","Champion","Active","Loyal"
"18172","2011-11-25","20","7561.68",37,4,5,5,"455","Loyal","Active","Loyal"
"13263","2011-12-08","35","7454.07",24,5,5,5,"555","Champion","Active","Loyal"
"12474","2011-11-22","18","7375.79",40,4,5,5,"455","Loyal","Active","Loyal"
"12980","2011-07-05","9","7374.90",180,2,5,5,"255","At Risk","At Risk","Loyal"
"15465","2011-11-20","18","7354.62",42,4,5,5,"455","Loyal","Active","Loyal"
"17396","2011-10-31","8","7330.80",62,3,5,5,"355","Developing","Active","Loyal"
"12583","2011-12-07","15","7281.38",25,5,5,5,"555","Champion","Active","Loyal"
"13018","2011-11-23","28","7277.70",39,4,5,5,"455","Loyal","Active","Loyal"
"18229","2011-11-28","20","7276.90",34,5,5,5,"555","Champion","Active","Loyal"
"16923","2011-11-27","19","7247.61",35,5,5,5,"555","Champion","Active","Loyal"
"16729","2011-11-01","21","7239.92",61,3,5,5,"355","Developing","Active","Loyal"
"16745","2011-09-14","17","7194.30",109,2,5,5,"255","At Risk","At Risk","Loyal"
"16873","2011-12-05","6","7123.62",27,5,5,5,"555","Champion","Active","Loyal"
"13324","2011-11-03","10","7121.95",59,3,5,5,"355","Developing","Active","Loyal"
"13985","2011-12-05","15","7060.13",27,5,5,5,"555","Champion","Active","Loyal"
"14961","2011-11-29","9","7044.68",33,5,5,5,"555","Champion","Active","Loyal"
"12766","2011-12-06","7","6989.63",26,5,5,5,"555","Champion","Active","Loyal"
"12798","2011-11-29","3","6977.04",33,5,3,5,"535","Developing","Active","Occasional"
"12989","2011-12-06","15","6924.11",26,5,5,5,"555","Champion","Active","Loyal"
"16713","2011-11-21","15","6923.13",41,4,5,5,"455","Loyal","Active","Loyal"
"13027","2011-08-18","6","6912.00",136,2,5,5,"255","At Risk","At Risk","Loyal"
"16187","2011-11-08","15","6911.44",54,4,5,5,"455","Loyal","Active","Loyal"
"17416","2011-11-10","7","6893.42",52,4,5,5,"455","Loyal","Active","Loyal"
"12705","2011-11-24","9","6868.29",38,4,5,5,"455","Loyal","Active","Loyal"
"12476","2011-11-24","11","6816.42",38,4,5,5,"455","Loyal","Active","Loyal"
"12830","2011-11-02","6","6814.64",60,3,5,5,"355","Developing","Active","Loyal"
"15023","2011-12-06","11","6802.76",26,5,5,5,"555","Champion","Active","Loyal"
"18055","2011-12-02","10","6784.19",30,5,5,5,"555","Champion","Active","Loyal"
"15601","2011-11-28","14","6776.56",34,5,5,5,"555","Champion","Active","Loyal"
"16652","2011-10-12","7","6773.97",81,3,5,5,"355","Developing","Active","Loyal"
"16532","2011-11-22","3","6748.80",40,4,4,5,"445","Loyal","Active","Occasional"
"13576","2011-11-29","18","6717.34",33,5,5,5,"555","Champion","Active","Loyal"
"16746","2011-12-05","18","6697.66",27,5,5,5,"555","Champion","Active","Loyal"
"15249","2011-11-08","13","6688.46",54,4,5,5,"455","Loyal","Active","Loyal"
"16353","2011-12-06","23","6675.71",26,5,5,5,"555","Champion","Active","Loyal"
"17338","2011-11-22","8","6643.93",40,4,5,5,"455","Loyal","Active","Loyal"
"12626","2011-11-16","9","6620.48",46,4,5,5,"455","Loyal","Active","Loyal"
"16182","2011-09-28","4","6617.65",95,2,4,5,"245","At Risk","At Risk","Occasional"
"15144","2011-12-01","17","6580.44",31,5,5,5,"555","Champion","Active","Loyal"
"12472","2011-11-07","7","6572.11",55,3,5,5,"355","Developing","Active","Loyal"
"16814","2011-11-25","21","6509.10",37,4,5,5,"455","Loyal","Active","Loyal"
"12431","2011-11-04","15","6487.45",58,3,5,5,"355","Developing","Active","Loyal"
"18223","2011-12-05","14","6484.54",27,5,5,5,"555","Champion","Active","Loyal"
"15694","2011-12-09","14","6479.40",23,5,5,5,"555","Champion","Active","Loyal"
"13225","2011-12-06","7","6463.84",26,5,5,5,"555","Champion","Active","Loyal"
"13102","2011-12-08","24","6424.09",24,5,5,5,"555","Champion","Active","Loyal"
"13871","2011-11-17","13","6403.25",45,4,5,5,"455","Loyal","Active","Loyal"
"12359","2011-10-13","4","6372.58",80,3,4,5,"345","Developing","Active","Occasional"
"13668","2011-12-07","21","6363.59",25,5,5,5,"555","Champion","Active","Loyal"
"13709","2011-12-06","13","6328.05",26,5,5,5,"555","Champion","Active","Loyal"
"15005","2011-11-24","28","6316.57",38,4,5,5,"455","Loyal","Active","Loyal"
"17315","2011-12-08","38","6292.26",24,5,5,5,"555","Champion","Active","Loyal"
"16126","2011-11-10","4","6287.77",52,4,4,5,"445","Loyal","Active","Occasional"
"14057","2011-11-16","17","6217.96",46,4,5,5,"455","Loyal","Active","Loyal"
"12357","2011-11-06","1","6207.67",56,3,1,5,"315","Potential","Active","One-Time"
"14060","2011-12-05","19","6140.42",27,5,5,5,"555","Champion","Active","Loyal"
"13418","2011-11-28","18","6127.43",34,5,5,5,"555","Champion","Active","Loyal"
"17509","2011-10-13","8","6115.14",80,3,5,5,"355","Developing","Active","Loyal"
"15939","2011-09-11","15","6115.01",112,2,5,5,"255","At Risk","At Risk","Loyal"
"14735","2011-12-06","32","6065.69",26,5,5,5,"555","Champion","Active","Loyal"
"12637","2011-10-03","8","6021.90",90,3,5,5,"355","Developing","Active","Loyal"
"13097","2011-11-07","10","6010.42",55,3,5,5,"355","Developing","Active","Loyal"
"13316","2011-11-02","4","5977.73",60,3,4,5,"345","Developing","Active","Occasional"
"14101","2011-09-27","6","5976.79",96,2,5,5,"255","At Risk","At Risk","Loyal"
"15382","2011-11-25","6","5955.71",37,4,5,5,"455","Loyal","Active","Loyal"
"14505","2011-11-22","8","5905.64",40,4,5,5,"455","Loyal","Active","Loyal"
"14415","2011-12-08","13","5900.28",24,5,5,5,"555","Champion","Active","Loyal"
"14944","2011-11-10","12","5900.25",52,4,5,5,"455","Loyal","Active","Loyal"
"13209","2011-11-09","8","5891.61",53,4,5,5,"455","Loyal","Active","Loyal"
"13534","2011-12-07","25","5870.08",25,5,5,5,"555","Champion","Active","Loyal"
"13050","2011-11-25","17","5836.86",37,4,5,5,"455","Loyal","Active","Loyal"
"12720","2011-12-07","25","5781.73",25,5,5,5,"555","Champion","Active","Loyal"
"15218","2011-11-29","11","5756.89",33,5,5,5,"555","Champion","Active","Loyal"
"17686","2011-12-02","7","5739.46",30,5,5,5,"555","Champion","Active","Loyal"
"13178","2011-11-13","11","5725.47",49,4,5,5,"455","Loyal","Active","Loyal"
"16553","2011-06-29","12","5719.82",186,2,5,5,"255","At Risk","Churned","Loyal"
"13468","2011-12-08","37","5704.97",24,5,5,5,"555","Champion","Active","Loyal"
"14110","2011-12-06","12","5683.15",26,5,5,5,"555","Champion","Active","Loyal"
"14049","2011-11-23","4","5681.72",39,4,4,5,"445","Loyal","Active","Occasional"
"17049","2011-12-07","9","5659.98",25,5,5,5,"555","Champion","Active","Loyal"
"17716","2011-11-17","11","5655.99",45,4,5,5,"455","Loyal","Active","Loyal"
"13004","2011-11-28","18","5655.91",34,5,5,5,"555","Champion","Active","Loyal"
"18118","2011-11-29","26","5653.82",33,5,5,5,"555","Champion","Active","Loyal"
"14688","2011-12-02","21","5630.87",30,5,5,5,"555","Champion","Active","Loyal"
"17757","2011-12-08","30","5605.29",24,5,5,5,"555","Champion","Active","Loyal"
"12481","2011-11-17","10","5596.32",45,4,5,5,"455","Loyal","Active","Loyal"
"12839","2011-12-07","14","5591.42",25,5,5,5,"555","Champion","Active","Loyal"
"16767","2011-11-09","11","5580.60",53,4,5,5,"455","Loyal","Active","Loyal"
"16161","2011-12-08","19","5575.56",24,5,5,5,"555","Champion","Active","Loyal"
"12539","2011-11-17","4","5568.35",45,4,4,5,"445","Loyal","Active","Occasional"
"15805","2011-11-16","17","5528.48",46,4,5,5,"455","Loyal","Active","Loyal"
"18225","2011-12-06","12","5509.12",26,5,5,5,"555","Champion","Active","Loyal"
"16609","2011-11-24","7","5493.46",38,4,5,5,"455","Loyal","Active","Loyal"
"16985","2011-11-22","10","5464.12",40,4,5,5,"455","Loyal","Active","Loyal"
"16265","2011-11-30","9","5447.00",32,5,5,5,"555","Champion","Active","Loyal"
"18198","2011-12-05","17","5425.56",27,5,5,5,"555","Champion","Active","Loyal"
"12490","2011-12-04","10","5417.93",28,5,5,5,"555","Champion","Active","Loyal"
"17809","2011-11-23","12","5411.91",39,4,5,5,"455","Loyal","Active","Loyal"
"16701","2011-12-01","13","5398.30",31,5,5,5,"555","Champion","Active","Loyal"
"17719","2011-11-02","15","5396.04",60,3,5,5,"355","Developing","Active","Loyal"
"17850","2010-12-02","34","5391.21",395,1,5,5,"155","At Risk","Churned","Loyal"
"16303","2011-11-14","3","5360.63",48,4,4,5,"445","Loyal","Active","Occasional"
"13269","2011-12-08","15","5346.23",24,5,5,5,"555","Champion","Active","Loyal"
"15150","2011-11-22","10","5314.47",40,4,5,5,"455","Loyal","Active","Loyal"
"17730","2011-12-06","13","5298.48",26,5,5,5,"555","Champion","Active","Loyal"
"17061","2011-09-27","11","5232.23",96,2,5,5,"255","At Risk","At Risk","Loyal"
"18226","2011-10-26","11","5228.05",67,3,5,5,"355","Developing","Active","Loyal"
"12362","2011-12-06","10","5226.23",26,5,5,5,"555","Champion","Active","Loyal"
"15046","2011-11-30","15","5213.77",32,5,5,5,"555","Champion","Active","Loyal"
"16258","2011-10-25","5","5203.51",68,3,4,5,"345","Developing","Active","Occasional"
"13756","2011-12-07","14","5189.52",25,5,5,5,"555","Champion","Active","Loyal"
"16191","2011-12-07","13","5180.52",25,5,5,5,"555","Champion","Active","Loyal"
"15727","2011-11-23","7","5178.96",39,4,5,5,"455","Loyal","Active","Loyal"
"17858","2011-12-04","12","5155.66",28,5,5,5,"555","Champion","Active","Loyal"
"13599","2011-12-08","21","5153.67",24,5,5,5,"555","Champion","Active","Loyal"
"15903","2011-11-30","7","5126.76",32,5,5,5,"555","Champion","Active","Loyal"
"13941","2011-11-18","5","5112.96",44,4,4,5,"445","Loyal","Active","Occasional"
"17602","2011-12-07","6","5102.97",25,5,5,5,"555","Champion","Active","Loyal"
"16700","2011-12-01","13","5076.55",31,5,5,5,"555","Champion","Active","Loyal"
"14562","2011-12-06","18","5074.77",26,5,5,5,"555","Champion","Active","Loyal"
"15301","2011-10-20","12","5070.35",73,3,5,5,"355","Developing","Active","Loyal"
"13139","2011-11-23","7","5064.94",39,4,5,5,"455","Loyal","Active","Loyal"
"12432","2011-10-28","5","5059.32",65,3,4,5,"345","Developing","Active","Occasional"
"15719","2011-11-07","13","5045.61",55,4,5,5,"455","Loyal","Active","Loyal"
"17426","2011-12-01","6","5037.26",31,5,5,5,"555","Champion","Active","Loyal"
"14329","2011-11-22","7","5014.84",40,4,5,5,"455","Loyal","Active","Loyal"
"14755","2011-11-30","11","5010.28",32,5,5,5,"555","Champion","Active","Loyal"
"12444","2011-11-18","5","5005.46",44,4,4,5,"445","Loyal","Active","Occasional"
"15032","2011-03-28","3","4959.10",279,1,3,5,"135","At Risk","Churned","Occasional"
"15547","2011-12-02","14","4954.84",30,5,5,5,"555","Champion","Active","Loyal"
"12437","2011-12-08","18","4951.41",24,5,5,5,"555","Champion","Active","Loyal"
"12700","2011-12-02","4","4939.99",30,5,4,5,"545","Loyal","Active","Occasional"
"15786","2011-10-24","3","4932.20",69,3,4,5,"345","Developing","Active","Occasional"
"14709","2011-11-24","13","4921.04",38,4,5,5,"455","Loyal","Active","Loyal"
"17133","2011-11-24","7","4892.24",38,4,5,5,"455","Loyal","Active","Loyal"
"12664","2011-12-01","9","4881.88",31,5,5,5,"555","Champion","Active","Loyal"
"12688","2011-08-18","1","4873.81",136,2,1,5,"215","Developing","At Risk","One-Time"
"14292","2011-12-02","9","4871.93",30,5,5,5,"555","Champion","Active","Loyal"
"17652","2011-11-14","12","4867.72",48,4,5,5,"455","Loyal","Active","Loyal"
"15738","2011-11-21","16","4812.42",41,4,5,5,"455","Loyal","Active","Loyal"
"13013","2011-12-08","13","4810.94",24,5,5,5,"555","Champion","Active","Loyal"
"15555","2011-11-27","16","4805.17",35,5,5,5,"555","Champion","Active","Loyal"
"17365","2011-11-27","8","4801.56",35,5,5,5,"555","Champion","Active","Loyal"
"15298","2011-12-07","12","4799.90",25,5,5,5,"555","Champion","Active","Loyal"
"15187","2011-12-08","16","4777.18",24,5,5,5,"555","Champion","Active","Loyal"
"17690","2011-11-09","15","4757.95",53,4,5,5,"455","Loyal","Active","Loyal"
"12955","2011-12-08","11","4757.16",24,5,5,5,"555","Champion","Active","Loyal"
"14180","2011-11-29","25","4748.52",33,5,5,5,"555","Champion","Active","Loyal"
"15152","2011-11-30","13","4745.69",32,5,5,5,"555","Champion","Active","Loyal"
"16722","2011-11-22","13","4730.81",40,4,5,5,"455","Loyal","Active","Loyal"
"12714","2011-11-30","5","4708.86",32,5,4,5,"545","Loyal","Active","Occasional"
"14159","2011-11-20","11","4693.01",42,4,5,5,"455","Loyal","Active","Loyal"
"14135","2011-12-08","15","4690.31",24,5,5,5,"555","Champion","Active","Loyal"
"14191","2011-12-08","13","4684.76",24,5,5,5,"555","Champion","Active","Loyal"
"15291","2011-11-14","15","4668.30",48,4,5,5,"455","Loyal","Active","Loyal"
"14189","2011-12-07","15","4654.08",25,5,5,5,"555","Champion","Active","Loyal"
"14390","2011-11-29","9","4652.82",33,5,5,5,"555","Champion","Active","Loyal"
"14286","2011-11-16","3","4628.75",46,4,3,5,"435","Developing","Active","Occasional"
"16931","2011-12-04","21","4604.22",28,5,5,5,"555","Champion","Active","Loyal"
"13802","2011-07-24","3","4599.42",161,2,3,5,"235","At Risk","At Risk","Occasional"
"15093","2011-11-21","6","4597.02",41,4,5,5,"455","Loyal","Active","Loyal"
"14004","2011-10-27","7","4582.64",66,3,5,5,"355","Developing","Active","Loyal"
"17613","2011-11-17","14","4559.15",45,4,5,5,"455","Loyal","Active","Loyal"
"17068","2011-11-27","21","4552.14",35,5,5,5,"555","Champion","Active","Loyal"
"12484","2011-11-07","6","4541.72",55,3,4,5,"345","Developing","Active","Loyal"
"13267","2011-12-07","19","4521.49",25,5,5,5,"555","Champion","Active","Loyal"
"15299","2011-10-03","7","4507.01",90,3,5,5,"355","Developing","Active","Loyal"
"17975","2011-11-24","13","4488.81",38,4,5,5,"455","Loyal","Active","Loyal"
"12524","2011-11-30","8","4485.72",32,5,5,5,"555","Champion","Active","Loyal"
"14426","2011-11-16","10","4481.67",46,4,5,5,"455","Loyal","Active","Loyal"
"16984","2011-09-12","2","4481.35",111,2,3,5,"235","At Risk","At Risk","Occasional"
"17364","2011-12-09","11","4481.18",23,5,5,5,"555","Champion","Active","Loyal"
"12627","2011-11-29","7","4478.53",33,5,5,5,"555","Champion","Active","Loyal"
"14085","2011-12-07","18","4448.54",25,5,5,5,"555","Champion","Active","Loyal"
"14534","2011-12-07","18","4447.05",25,5,5,5,"555","Champion","Active","Loyal"
"13069","2011-12-09","24","4436.12",23,5,5,5,"555","Champion","Active","Loyal"
"15955","2011-11-15","14","4416.26",47,4,5,5,"455","Loyal","Active","Loyal"
"16626","2011-12-09","17","4413.10",23,5,5,5,"555","Champion","Active","Loyal"
"15874","2011-10-07","7","4405.88",86,3,5,5,"355","Developing","Active","Loyal"
"12712","2011-11-11","13","4396.13",51,4,5,5,"455","Loyal","Active","Loyal"
